"filename", "language", "HTML", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\delivered.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\edit.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\file.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\orders.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\pending.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\plus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\processing.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\product.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\shipped.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\users.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\SignUpPics\google.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\cart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\greaterThan.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\history.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\homePics\homeIcon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\loader.svg", "XML", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\settings.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\shop.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\shopPics\funnel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\shopPics\next.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\shopPics\prev.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\tick.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Cart\StripeButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 4, 7, 63
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 8, 7, 179
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\Coupons\Coupons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 319, 0, 6, 18, 343
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\Coupons\CreateCoupon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 6, 119
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\Coupons\DeleteCoupon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 8, 156
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\Coupons\EditCoupon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 1, 10, 119
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\Orders\DeleteOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 8, 155
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\Orders\EditOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 1, 9, 105
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\Orders\Orders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 383, 0, 13, 14, 410
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\ProductCatalog\DeleteProduct.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 174, 0, 11, 21, 206
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\components\Dashboard\Dashbar\ProductCatalog\ProductCatalog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 504, 0, 28, 35, 567
